,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
985,super-strike-beach-volleyball,0,4/14/2016,0,0,0,0,1,,100,2019-01-09T12:41:06,"train, character",0,,0,1,0,0,0,0
986,bella-sara-the-magical-horse-adventures,0,6/15/2012,0,0,0,0,1,,0,2020-05-21T09:51:04,,0,,1,0,0,0,0,0
987,dragon-ball-heroes-ultimate-mission,0,2/28/2013,0,0,1,0,1,,0,2019-06-25T02:23:30,,1,"Arcade, Fighting",0,1,0,0,0,0
988,pokedex-3d,0,6/6/2011,0,0,0,0,1,,0,2019-06-24T18:56:12,,0,,0,0,1,0,0,0
989,puyo-puyo-20th-anniversary,0,7/14/2011,0,0,0,0,1,,0,2019-06-24T18:59:05,,0,,0,1,0,0,0,0
990,regular-show-mordecai-and-rigby-in-8-bit-land,0,10/29/2013,0,0,0,0,1,,0,2019-06-24T19:01:33,,0,,0,1,0,0,0,0
991,azito-3d-osaka,0,3/6/2013,0,0,0,0,1,,0,2019-06-24T21:48:18,,0,,0,1,0,0,0,0
992,nintendo-video,0,,0,0,0,0,1,,0,2019-09-12T06:37:41,"exclusive, true exclusive",0,,0,1,0,0,0,0
993,osawari-tantei-ozawa-rina-nameko-rhythm,0,,0,0,0,0,1,,0,2019-09-12T06:37:39,"exclusive, true exclusive",0,,0,1,0,0,0,0
994,jewel-pet-mahou-de-oshare-ni-dance-deco,0,,0,0,0,0,1,,0,2019-09-12T06:37:38,"exclusive, true exclusive",0,,0,1,0,0,0,0
995,gon-bakubakubakubaku-adventure,0,,0,0,0,0,1,,0,2019-09-12T06:37:37,"exclusive, true exclusive",0,,0,1,0,0,0,0
996,saiki-kusuo-no-psi-nan-shijou-psi-dai-no-psi-nan,0,,0,0,0,0,1,,0,2019-09-12T06:37:35,"exclusive, true exclusive",0,,0,1,0,0,0,0
997,glory-of-generals,0,4/30/2013,0,0,0,0,1,,441,2019-07-30T08:52:25,,0,"Strategy, Simulation",0,1,0,0,0,0
998,horse-vet-3d,0,9/18/2014,0,0,0,0,1,,123,2019-01-09T12:41:06,"Blood, Cute",0,,0,1,0,0,0,0
999,castle-conqueror-ex,0,10/23/2014,0,0,0,0,1,,106,2019-01-09T12:41:06,"hardcore, battle",0,,0,1,0,0,0,0
1000,i-love-my-horse,0,12/18/2014,0,0,0,0,1,,113,2019-01-09T12:41:06,"Story, Beautiful",0,,1,0,0,0,0,0
1001,50-pinch-barrage,0,3/12/2015,0,0,0,0,1,,44,2019-01-09T12:41:06,"online, Traps",0,,0,1,0,0,0,0
1002,rv-7-my-drone,0,1/28/2016,0,0,0,0,1,,139,2019-01-09T12:41:06,"achievements, drone",0,,0,1,0,0,0,0
1003,the-hand-of-panda,0,3/3/2016,0,0,0,0,1,,108,2019-01-09T12:41:06,"Story, character",0,,0,1,0,0,0,0
1004,excave-iii-tower-of-destiny,0,4/14/2016,0,0,0,0,1,,134,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1005,ninja-usagimaru-the-mysterious-karakuri-castle,0,9/29/2016,0,0,0,0,1,,119,2019-01-09T12:41:06,"Monsters, Traps",0,,0,1,0,0,0,0
1006,frontier-days-founding-pioneers,0,3/9/2017,0,0,0,0,1,,113,2019-01-09T12:41:06,"food, city",0,,0,1,0,0,0,0
1007,gyrozetter-wings-of-the-albatross,0,6/13/2013,0,0,0,0,1,,0,2019-06-25T07:12:39,,0,"Action, RPG",0,1,0,0,0,0
1008,harmo-knight,0,9/5/2012,0,0,0,0,1,,0,2019-06-25T07:26:10,,0,,0,0,0,1,0,0
1009,new-love-plus-plus,0,3/27/2014,0,0,0,0,1,,0,2019-06-25T15:45:27,,0,,0,1,0,0,0,0
1010,power-rangers-megaforce,0,11/5/2013,0,0,0,0,1,,0,2019-06-25T18:34:20,,0,,0,1,0,0,0,0
1011,zombie-panic-in-wonderland-dx,0,10/28/2014,0,0,0,0,1,,145,2019-10-25T03:13:47,"Captions available, Full controller support",0,"Adventure, Action",0,0,0,1,0,0
1012,asdivine-cross,0,7/13/2017,0,0,0,0,1,,284,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1013,brick-thru,0,3/8/2018,0,0,0,0,1,,22,2019-01-09T12:41:06,"Space, Endless",0,,0,1,0,0,0,0
1014,kutar-quiz,0,11/10/2016,0,0,0,0,1,,50,2019-01-09T12:41:06,"Dog, character",0,,0,1,0,0,0,0
1015,teenage-mutant-ninja-turtles-master-splinters-trai,0,11/3/2015,0,0,1,0,1,,171,2019-01-09T12:41:06,"Training, battle",1,,0,0,0,0,1,0
1016,best-of-arcade-games-tetraminos,0,8/6/2015,0,0,0,0,1,,102,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1017,best-of-casual-games,0,3/5/2015,0,0,0,0,1,,214,2019-01-09T12:41:06,,0,,0,0,0,1,0,0
1018,my-life-on-a-farm-3d,0,11/27/2014,0,0,0,0,1,,114,2019-01-09T12:41:06,"Minigames, Animals",0,,0,1,0,0,0,0
1019,scooby-doo-looney-tunes-cartoon-universe-adventu-2,0,7/24/2014,0,0,0,0,1,,61,2019-01-09T12:41:06,"Loot, Mystery",0,,0,1,0,0,0,0
1020,pix3d,0,12/20/2012,0,0,1,0,1,,62,2019-01-09T12:41:06,,1,,0,0,1,0,0,0
